district,lat,lon,elevation_m,slope_deg,aspect,roughness,flow_accum,stream_order
Kamrup,25.23883,93.33582,45.7,7.5,155.6,1.182,93.87,3
Kamrup,27.244987,91.325112,109.6,0.5,331.4,1.111,53.12,1
Kamrup,24.73582,92.682746,149.6,13.3,301.7,1.793,65.77,3
Kamrup,25.872399,91.13341,77.1,17.0,303.5,1.15,74.14,3
Kamrup,26.867105,90.320459,47.3,17.8,72.3,1.327,76.07,3
Kamrup,24.651684,92.13973,79.4,17.5,313.3,0.249,17.04,5
Karimganj,25.919024,90.434368,16.9,13.9,291.4,1.794,46.16,3
Karimganj,26.383443,92.489584,95.0,2.8,210.6,0.578,13.25,1
Karimganj,25.600869,92.575062,42.0,13.3,16.6,1.826,48.45,2
Karimganj,26.06939,89.726837,126.8,15.7,101.9,1.193,50.79,2
Karimganj,25.830382,92.261791,91.4,5.2,342.9,0.416,54.08,4
Karimganj,27.951777,89.570942,148.7,8.5,196.0,1.41,22.09,4
Karimganj,24.893983,91.20262,105.4,18.0,206.0,1.334,14.75,2
Karimganj,24.961954,91.240918,134.6,0.0,219.9,0.565,28.62,1
Karimganj,25.348748,89.664418,139.9,26.4,290.6,1.072,35.09,1
Karimganj,24.843507,93.183915,114.3,25.4,299.3,1.243,11.25,3
Karimganj,27.034693,90.375521,108.7,19.3,3.4,1.341,43.49,3
Karimganj,24.687521,90.321098,40.5,17.9,221.3,1.3,18.4,1
Karimganj,25.461143,90.133727,77.9,12.7,182.5,0.443,8.1,3
Karimganj,24.553962,92.387952,116.1,15.6,105.2,1.263,57.62,3
Karimganj,25.582023,93.477055,140.9,5.7,345.3,1.931,98.08,1
Karimganj,27.520669,91.742018,52.1,12.5,20.9,0.966,75.22,3
Karimganj,25.637975,91.479721,10.1,6.5,12.6,0.892,78.88,1
Karimganj,27.860507,90.088747,42.1,9.3,147.9,0.655,63.97,2
Karimganj,25.541799,90.455805,116.4,24.8,204.7,0.591,74.48,5
Karimganj,26.07852,93.470054,148.3,12.4,108.6,0.673,4.94,2
Karimganj,25.061829,90.390184,12.1,2.4,8.9,1.43,70.8,5
Karimganj,27.935621,89.590507,10.1,24.5,125.7,0.618,0.83,4
Karimganj,25.763605,92.186523,86.4,7.3,123.7,1.498,44.2,3
Karimganj,27.422342,92.947033,88.1,16.7,345.8,1.018,40.74,3
Karimganj,24.969481,90.13231,73.4,24.4,357.9,1.914,97.42,4
Karimganj,27.243947,92.824574,50.1,7.8,345.3,1.917,68.12,2
Karimganj,25.090471,93.082215,64.1,29.9,285.1,1.938,8.52,5
Karimganj,26.399907,91.230779,141.7,12.0,38.4,0.421,0.85,4
Kokrajhar,26.700198,91.136087,63.2,17.7,247.8,1.343,84.07,1
Kokrajhar,26.603101,90.102683,107.8,29.0,212.0,0.546,66.46,2
Kokrajhar,27.657269,90.081627,35.4,9.4,119.5,0.816,85.02,2
Kokrajhar,26.394627,91.435056,117.8,14.6,277.7,1.416,97.87,2
Kokrajhar,26.730885,91.487348,88.4,25.5,51.3,1.507,27.04,4
Kokrajhar,26.125807,90.732191,36.2,1.8,275.2,0.586,71.74,3
Kokrajhar,25.29265,93.487191,89.6,18.8,227.5,1.548,59.78,3
Kokrajhar,26.926715,92.957232,55.2,27.9,83.3,1.534,12.42,3
Kokrajhar,24.87416,91.014847,110.9,10.9,71.5,0.354,35.96,3
Kokrajhar,26.478158,92.676855,34.0,16.4,244.5,1.513,76.79,4
Kokrajhar,27.762072,89.818305,23.5,20.4,281.5,0.149,44.72,4
Kokrajhar,25.715435,92.060585,102.4,22.6,154.3,0.472,68.16,2
Kokrajhar,24.561521,90.779582,146.0,21.4,264.1,1.17,26.97,1
Kokrajhar,25.638656,92.939014,44.1,5.5,121.9,0.655,66.31,5
Kokrajhar,26.17903,91.658795,88.7,26.8,168.2,1.06,6.2,1
Kokrajhar,27.592996,92.634075,20.6,19.6,50.3,1.869,26.32,4
Kokrajhar,24.70432,91.203032,89.5,18.4,100.8,1.027,31.26,2
Kokrajhar,25.110718,93.457424,117.3,15.4,4.0,0.563,37.99,5
Kokrajhar,27.474237,93.240699,78.6,29.8,275.6,0.857,23.82,2
Kokrajhar,25.615556,90.133557,21.0,16.9,346.4,1.174,94.22,3
Lakhimpur,27.59074,93.337123,125.1,1.3,253.5,1.575,81.97,3
Lakhimpur,26.603576,92.200353,60.6,11.2,129.7,0.748,58.25,3
Lakhimpur,24.807443,92.933271,13.9,22.8,333.4,0.61,31.23,1
Lakhimpur,24.649218,91.147857,101.1,24.3,263.7,0.178,37.92,1
Lakhimpur,26.80763,91.114031,80.6,24.4,286.9,0.666,66.4,2
Lakhimpur,26.713344,92.940461,59.3,29.0,77.2,1.871,59.26,5
Lakhimpur,25.09721,90.106327,53.6,23.1,318.2,0.444,35.99,4
Lakhimpur,27.186639,93.114386,138.8,8.9,120.0,0.798,1.02,4
Lakhimpur,26.447581,92.002572,133.6,21.2,158.2,0.945,67.97,5
Lakhimpur,24.743038,90.896896,24.2,16.1,278.4,1.134,77.74,3
Lakhimpur,24.751744,89.682863,90.4,12.8,155.3,1.581,99.84,2
Lakhimpur,27.056327,90.617904,128.6,0.6,220.4,2.0,75.11,1
Lakhimpur,24.901281,92.448412,54.3,3.6,245.9,0.192,21.65,5
Lakhimpur,25.721981,93.295006,101.2,17.0,86.7,0.869,42.47,1
Lakhimpur,26.001832,91.83771,104.5,5.5,53.1,0.869,4.15,2
Lakhimpur,24.571219,93.433253,148.5,4.4,131.5,1.638,35.64,3
Lakhimpur,26.657684,92.440842,122.0,17.5,64.0,0.626,33.81,3
Lakhimpur,26.058835,92.846315,25.8,21.0,66.8,0.596,65.17,2
Lakhimpur,25.041776,93.017596,90.7,12.7,39.0,1.806,14.25,4
Lakhimpur,26.816117,90.562358,65.3,10.8,93.4,1.063,71.09,5
Lakhimpur,25.438329,91.047497,94.1,29.7,212.4,1.715,79.78,2
Lakhimpur,26.724902,92.750621,116.6,4.2,80.5,0.465,57.68,4
Lakhimpur,27.58155,92.769747,127.2,23.6,308.8,0.994,22.79,1
Lakhimpur,26.060472,90.211341,103.0,15.2,273.2,0.388,99.46,4
Lakhimpur,25.910145,89.537381,118.6,8.9,90.3,1.167,23.28,5
Lakhimpur,27.733701,90.822711,126.0,19.3,121.4,1.002,58.28,4
Lakhimpur,27.457839,89.924333,113.4,12.1,29.1,0.554,19.78,1
Lakhimpur,27.993261,91.971225,56.7,11.1,19.4,1.663,8.4,1
Lakhimpur,24.748575,93.08074,10.9,16.9,32.3,1.429,74.37,1
Lakhimpur,26.195114,90.357641,38.8,19.2,238.2,1.544,21.03,3
Lakhimpur,25.136818,90.99726,125.3,24.5,0.1,0.643,50.83,4
Lakhimpur,25.545531,92.885695,73.3,22.5,346.7,0.345,68.43,5
Lakhimpur,26.423608,90.907571,52.7,26.4,164.4,0.377,91.39,4
Lakhimpur,25.612131,93.212426,10.0,26.8,302.0,0.133,54.2,5
Lakhimpur,27.553703,92.354497,85.4,13.7,282.1,0.126,73.01,3
Lakhimpur,26.256391,89.958364,139.2,28.4,198.7,1.34,15.46,1
Lakhimpur,26.521895,90.360078,58.1,27.5,226.8,1.289,4.06,2
Lakhimpur,26.832975,92.306474,85.4,6.8,100.5,1.685,57.66,1
Lakhimpur,26.702921,92.846791,122.9,16.1,28.4,1.466,57.04,1
Lakhimpur,26.439489,90.190772,23.8,29.8,233.7,0.189,65.26,3
Lakhimpur,25.530514,92.828143,105.0,1.9,304.4,0.209,80.84,3
Lakhimpur,27.062257,92.601092,11.8,20.6,80.7,1.902,77.9,3
Lakhimpur,27.670083,91.573693,77.0,22.5,301.9,0.668,1.9,2
Morigaon,27.219155,89.721736,37.8,27.9,140.8,1.132,57.4,2
Morigaon,26.506296,93.180919,71.6,20.2,113.7,0.681,29.36,4
Morigaon,26.441013,90.081364,109.5,8.4,67.7,1.464,11.18,5
Morigaon,26.713976,90.3651,48.7,8.9,34.2,0.24,90.83,3
Morigaon,25.422853,92.918287,130.8,10.9,89.8,0.642,94.0,2
Morigaon,26.497825,93.395373,140.1,17.8,146.8,1.71,48.29,5
Morigaon,27.58669,91.493297,29.2,28.5,329.2,0.219,45.24,1
Morigaon,27.547418,93.095174,59.7,2.7,246.7,0.234,14.75,2
Morigaon,27.321972,89.893105,106.1,25.1,95.9,1.117,28.69,2
Morigaon,25.477754,89.628935,66.0,0.0,304.2,1.831,99.82,2
Morigaon,26.907585,93.030005,77.6,14.4,172.4,0.281,12.02,1
Morigaon,25.914495,93.106421,63.0,25.5,199.5,1.748,73.99,1
Morigaon,25.366542,89.635953,72.6,28.6,355.8,0.948,6.82,1
Morigaon,25.095753,91.617763,149.1,14.1,253.3,1.099,50.73,3
Morigaon,27.275051,91.937908,129.9,0.5,335.6,0.309,28.81,4
Morigaon,26.612402,91.174363,110.9,26.5,48.8,1.067,95.8,4
Morigaon,25.433844,92.303765,94.4,5.9,290.3,1.658,19.19,4
Morigaon,27.362846,91.142635,34.3,24.1,138.0,1.191,55.78,4
Morigaon,25.622437,90.187676,95.1,7.1,286.1,0.824,65.85,1
Morigaon,27.970007,92.673823,96.0,17.5,317.0,0.584,92.57,3
Morigaon,26.443729,92.020289,101.0,1.5,41.4,1.437,75.77,2
Morigaon,27.076534,91.35732,61.4,23.3,324.7,1.559,81.09,1
Morigaon,27.216786,92.435731,121.7,15.4,76.1,1.836,89.66,2
Morigaon,25.237973,91.37645,125.9,6.5,181.6,0.624,53.94,1
Morigaon,26.930464,92.156738,146.5,16.0,275.9,0.904,62.55,1
Morigaon,24.50675,92.699801,20.8,17.9,250.3,0.115,59.25,4
Morigaon,27.698171,90.291618,21.1,26.9,330.8,0.424,85.39,1
Morigaon,26.228792,90.047703,24.9,10.3,180.3,0.103,53.57,2
Morigaon,26.772686,93.380263,69.4,28.2,324.7,1.954,65.86,1
Morigaon,25.542514,90.153364,118.3,18.6,100.0,0.716,37.18,2
Nagaon,27.790973,92.537653,78.0,2.6,127.6,1.522,4.36,5
Nagaon,26.279873,92.693283,145.7,5.3,305.7,1.257,30.32,3
Nagaon,25.503073,89.860722,135.0,27.9,193.9,1.1,20.47,5
Nagaon,25.067313,93.004134,145.3,14.4,85.0,1.198,92.87,5
Nagaon,25.80851,92.230038,30.0,1.6,235.4,1.433,21.35,2
Nagaon,26.828959,90.680035,42.8,2.7,295.2,0.941,53.47,5
Nagaon,26.040605,93.46579,31.2,25.9,119.7,0.844,63.03,5
Nagaon,27.824244,91.449409,120.4,5.8,313.8,1.304,74.92,5
Nagaon,26.685906,93.396666,77.5,0.2,40.4,1.086,85.56,2
Nagaon,25.917391,89.998326,137.8,26.6,276.8,1.823,31.39,4
Nagaon,25.624631,90.01468,116.8,4.7,333.5,1.47,93.96,2
Nagaon,26.187719,90.134189,81.1,8.3,103.7,0.838,20.16,4
Nagaon,26.457565,89.57204,84.8,29.0,359.1,0.894,87.58,1
Nagaon,24.800867,92.930577,130.0,28.8,77.0,1.327,34.7,3
Nagaon,27.493963,90.168618,14.1,13.5,16.5,0.456,99.18,2
Nagaon,26.22984,89.564262,104.4,2.3,161.4,1.305,23.05,5
Nagaon,24.880611,92.222284,63.2,8.6,277.0,1.028,27.55,5
Nagaon,27.315976,91.711785,132.8,19.4,303.3,0.346,33.35,1
Nagaon,26.722062,92.400298,59.8,6.1,246.3,1.675,24.85,3
Nagaon,27.338213,92.597625,17.8,24.1,247.8,1.819,56.91,4
Nagaon,26.835901,92.237719,108.2,26.2,107.8,0.811,19.02,2
Nagaon,24.7267,90.607299,55.1,26.3,213.7,1.272,64.28,5
Nagaon,27.064108,92.750405,103.4,7.4,107.5,1.283,36.43,1
Nagaon,27.220346,93.260745,22.8,4.9,81.9,0.735,55.18,4
Nagaon,25.544235,91.988344,118.3,17.2,229.4,1.458,89.48,5
Nagaon,27.542042,92.937961,62.3,1.2,26.2,1.314,9.17,2
Nagaon,26.793651,92.352633,32.7,10.5,301.4,1.9,94.63,1
Nagaon,25.910764,90.815645,124.5,9.3,133.3,0.669,14.75,2
Nagaon,26.714528,90.995968,50.9,19.3,5.8,0.404,3.79,3
Nagaon,25.231182,90.242355,117.9,19.0,257.0,0.945,4.25,1
Nagaon,27.725252,92.907525,21.4,25.7,65.4,0.926,39.16,2
Nagaon,27.384022,89.956253,122.8,2.9,232.7,0.719,66.33,5
Nagaon,27.113147,92.899836,140.8,20.4,202.2,0.871,40.95,1
Nagaon,25.237658,91.208156,74.0,3.5,268.4,0.107,87.86,2
Nagaon,26.410245,92.327335,43.2,27.7,205.9,0.712,34.1,2
Nagaon,27.424102,89.881762,143.7,19.5,305.4,1.456,26.18,4
Nagaon,26.144773,90.221588,84.4,8.7,161.7,1.509,25.75,3
Nagaon,27.086986,91.250482,48.2,9.4,209.9,1.888,54.42,4
Nagaon,26.574821,90.785125,72.6,14.1,341.1,0.491,96.17,3
Nagaon,27.36033,93.080959,14.9,14.3,71.2,1.694,14.7,4
Nagaon,26.630276,91.670921,24.8,22.7,182.4,0.216,37.15,4
Nagaon,25.811784,90.495689,28.5,15.1,178.8,1.812,80.14,3
Nagaon,27.573045,91.20715,17.2,0.0,191.9,1.97,27.73,2
Nagaon,24.827721,90.643181,61.5,12.4,252.2,1.407,3.55,2
Nagaon,25.639924,89.848188,131.8,0.3,269.3,1.128,56.78,4
Nalbari,27.974954,93.315761,122.6,9.1,347.5,0.327,5.16,4
Nalbari,26.171435,91.384551,67.2,26.7,355.6,0.527,10.07,5
Nalbari,26.343248,90.555448,120.3,5.3,245.4,0.33,32.72,3
Nalbari,27.262397,90.802168,54.3,19.8,120.7,1.405,30.86,2
Nalbari,27.643262,89.549143,37.1,5.0,0.3,0.963,35.79,2
Nalbari,26.996876,91.248076,125.9,8.8,292.5,1.012,47.21,1
Nalbari,26.251874,91.831983,92.6,23.0,226.0,0.708,6.63,3
Nalbari,25.786183,92.009546,85.9,16.9,334.8,1.741,2.29,3
Nalbari,27.415482,92.021158,93.9,23.2,338.3,0.954,22.13,5
Nalbari,27.333994,93.401359,45.5,27.0,307.9,1.629,72.28,1
Nalbari,27.303173,93.180928,125.0,23.9,271.7,1.654,44.34,3
Nalbari,25.143109,91.922458,115.4,5.5,282.2,1.041,49.31,5
Nalbari,27.67409,92.951434,46.2,8.3,201.4,0.624,68.98,5
Nalbari,26.786009,91.921292,14.5,4.4,103.8,0.311,58.26,4
Nalbari,25.449965,93.464617,67.6,0.3,202.1,0.924,45.11,3
Nalbari,27.969721,90.242725,67.5,0.7,181.9,0.307,30.53,5
Nalbari,25.57298,89.771096,30.9,13.0,331.5,1.128,15.8,5
Nalbari,27.348076,90.931158,34.8,15.5,26.7,1.38,33.13,2
Nalbari,25.324646,90.968363,143.7,23.7,137.3,0.662,7.46,5
Nalbari,27.299095,93.229177,10.4,5.2,7.2,1.098,82.95,4
Nalbari,25.819299,92.075466,31.4,17.5,41.4,0.282,60.01,2
Nalbari,25.997765,91.105517,98.5,17.0,242.1,1.052,63.37,1
Nalbari,27.696831,90.458665,118.0,15.9,308.8,0.146,74.27,1
Nalbari,25.872733,89.935696,62.1,19.8,37.2,1.211,47.67,3
Sivasagar,27.691924,90.112973,114.2,19.6,16.8,1.291,60.28,1
Sivasagar,27.922959,92.918073,94.9,8.7,336.8,1.923,80.92,1
Sivasagar,27.663142,90.627905,37.0,16.7,258.3,1.629,1.75,1
Sivasagar,25.314645,89.917494,22.4,7.4,173.3,1.486,46.05,1
Sivasagar,24.665913,90.602604,32.7,4.7,201.2,0.625,28.89,3
Sivasagar,26.856972,89.888783,31.1,8.9,3.7,1.025,58.95,4
Sivasagar,27.584101,89.993351,21.8,10.9,197.3,0.452,47.02,4
Sivasagar,25.269814,92.634868,116.1,29.7,66.7,0.677,58.12,2
Sivasagar,26.891639,90.263955,109.5,28.8,166.4,1.636,63.62,4
Sivasagar,27.383396,92.421919,41.9,8.5,110.7,1.793,90.03,5
Sivasagar,27.981105,91.83025,149.3,13.4,73.3,0.751,8.25,5
Sivasagar,25.759374,93.268089,125.2,22.8,326.7,0.568,42.96,4
Sivasagar,25.573377,89.954553,18.7,17.3,150.9,1.148,8.98,4
Sivasagar,26.268398,91.957946,111.3,6.7,233.1,0.733,14.11,2
Sivasagar,25.891425,92.61503,31.0,3.3,73.4,0.839,87.22,3
Sivasagar,26.423583,91.180544,150.0,17.4,303.5,0.556,6.31,1
Sivasagar,25.006326,92.125012,10.1,16.3,305.8,1.031,80.51,3
Sivasagar,25.877065,92.484767,86.1,6.9,65.6,1.252,82.09,4
Sivasagar,25.065418,90.847255,11.6,9.6,16.2,1.088,91.5,5
Sivasagar,27.273821,91.601033,55.1,9.4,103.2,0.523,93.29,1
Sivasagar,26.348643,89.632388,133.8,11.1,187.7,0.536,38.55,3
Sivasagar,25.492872,91.190816,36.6,12.2,287.7,1.479,69.11,2
Sivasagar,25.95724,90.336356,78.1,6.9,226.9,1.228,88.31,1
Sivasagar,25.275514,91.951261,58.5,16.0,245.5,0.14,9.86,3
Sivasagar,27.841822,92.472844,103.7,3.9,94.9,1.584,84.71,1
Sonitpur,24.534199,90.21731,138.0,18.5,74.0,0.599,76.57,2
Sonitpur,25.526093,91.101442,133.6,4.1,254.9,0.23,24.83,1
Sonitpur,26.239471,90.827147,27.9,18.6,164.2,0.279,19.57,3
Sonitpur,26.554242,89.950387,39.7,0.3,311.2,0.473,76.72,5
Sonitpur,27.77185,92.468358,24.5,24.9,227.9,0.412,9.07,5
Sonitpur,27.085018,90.862642,46.7,19.5,329.8,0.654,60.92,3
Sonitpur,27.908602,91.048836,45.3,9.7,254.5,1.96,73.15,5
Sonitpur,27.22634,92.496956,102.6,17.2,176.9,1.584,6.85,5
Sonitpur,24.563628,92.547183,104.9,11.7,217.1,1.253,76.02,5
Sonitpur,25.335533,91.072505,42.3,26.5,228.7,0.267,22.01,1
Sonitpur,24.929912,90.447749,47.8,4.6,55.8,1.771,77.85,3
Sonitpur,24.535752,91.712804,16.1,15.9,217.8,1.981,39.89,4
Sonitpur,24.611296,92.166181,73.3,20.2,158.8,0.133,38.02,2
Sonitpur,26.72476,90.951264,81.2,21.6,29.1,0.647,10.97,3
Sonitpur,27.496973,92.487052,107.7,21.8,335.5,1.925,48.69,4
Sonitpur,26.379359,90.829322,67.0,10.8,196.7,1.212,39.94,4
Sonitpur,27.021703,92.850102,125.7,9.4,303.7,1.2,29.24,2
Sonitpur,25.071377,91.346697,38.5,24.3,79.9,0.389,67.63,2
Sonitpur,27.235087,91.080265,58.5,12.5,176.9,0.475,96.87,5
Sonitpur,25.146513,89.740008,90.6,28.6,75.5,1.587,12.03,3
Sonitpur,27.605536,91.606045,10.3,0.6,58.3,0.886,63.78,4
Sonitpur,26.766348,92.429779,136.0,12.2,25.2,1.779,2.49,5
Sonitpur,26.729214,91.239381,14.4,6.2,259.3,1.058,56.14,2
Sonitpur,26.439337,92.056713,105.7,25.2,182.9,0.461,34.3,5
Sonitpur,25.139795,90.60697,26.9,19.4,168.0,0.998,47.01,4
Sonitpur,25.328245,90.566088,54.8,29.0,72.3,0.778,11.14,3
Sonitpur,24.860895,92.592591,38.0,11.6,259.7,1.208,99.12,1
Sonitpur,27.142812,90.241341,37.7,17.6,267.8,0.321,85.8,4
Sonitpur,27.715833,90.324439,61.5,20.0,89.8,0.773,32.92,4
Tinsukia,25.224464,92.222474,12.5,21.8,84.0,1.587,95.21,2
Tinsukia,25.512075,91.922234,41.2,3.0,315.2,1.257,10.38,3
Tinsukia,25.824938,92.276428,134.4,7.0,47.0,0.483,1.25,4
Tinsukia,26.628596,91.922371,54.8,13.1,179.4,0.247,98.3,2
Tinsukia,26.086728,91.121684,146.9,11.9,246.0,1.542,53.03,1
Tinsukia,25.636044,91.860578,117.0,8.6,315.4,1.122,71.59,3
Tinsukia,24.918594,92.279109,146.7,2.8,36.7,1.139,32.19,4
Tinsukia,24.881526,90.230523,75.9,8.1,120.3,1.499,65.75,4
Tinsukia,24.503014,93.095642,10.1,16.9,16.9,0.551,38.05,5
Tinsukia,26.042216,91.225503,24.9,22.3,190.6,1.455,23.87,2
Tinsukia,25.458475,92.939874,144.8,24.7,216.8,1.305,28.9,2
Tinsukia,26.608287,91.848414,118.6,19.2,11.2,1.165,23.63,4
Tinsukia,26.431611,90.000151,14.6,1.8,343.3,1.702,57.27,3
Tinsukia,25.854184,90.339112,30.6,13.1,71.6,1.227,22.47,5
Tinsukia,27.014645,90.481077,53.5,25.2,321.0,0.89,99.03,2
Tinsukia,27.137809,91.698873,81.3,11.8,4.4,0.678,41.67,3
Tinsukia,25.205497,92.419818,136.4,12.3,154.3,1.946,54.18,3
Tinsukia,25.218028,91.354167,129.5,4.6,307.2,1.327,10.9,2
Tinsukia,27.05211,90.505565,29.6,20.0,109.4,0.718,51.74,5
Tinsukia,26.474445,92.613301,57.3,24.1,330.4,1.299,17.75,2
Tinsukia,27.941246,89.633664,40.4,10.2,309.4,1.632,52.7,2
Tinsukia,25.62377,90.469052,115.9,27.1,17.9,0.7,87.39,1
Tinsukia,26.986772,92.69156,10.2,26.8,296.1,1.333,84.98,1
Tinsukia,26.476239,92.055852,41.7,6.2,294.4,1.737,57.88,4
Tinsukia,27.309433,90.839398,116.1,15.5,146.8,1.429,59.19,3
